from,to,horizontalOpenGap,heightChange
m05.arrival,m05.approach.a,3.0,0.2
m05.approach.a,m05.approach.b,3.0,0.2
m05.approach.b,m05.approach.c,3.0,0.2
m05.approach.c,m05.west.restore,3.0,0.4
m05.west.restore,m05.arc.01,3.0,0.2
m05.arc.01,m05.arc.02,3.0,0.2
m05.arc.02,m05.arc.03,2.0,0.2
m05.arc.03,m05.arc.04,3.0,0.0
m05.arc.04,m05.arc.05,3.0,0.0
m05.arc.05,m05.arc.06,3.0,0.4
m05.arc.06,m05.arc.07,2.0,0.2
m05.arc.07,m05.arc.08,3.0,0.2
m05.arc.08,m05.east.restore,3.0,0.4
m05.east.restore,m05.ascent.a,2.0,0.3
m05.ascent.a,m05.ascent.b,2.5,0.2
m05.ascent.b,m05.ascent.c,2.0,0.3
m05.ascent.c,m05.lens.restore,2.0,0.4
m05.lens.restore,m05.lens.a,3.0,0.2
m05.lens.a,m05.lens.b,3.0,0.2
m05.lens.b,m05.lens.c,2.5,0.2
m05.lens.c,m05.patch.base,3.0,0.4
