from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,5,3,3.469,3.469,6.873,4.372
m05.approach.a,m05.approach.b,5,3,7,4,3.469,3.469,8.200,4.788
m05.approach.b,m05.approach.c,7,4,5,4,3.469,3.469,8.200,4.771
m05.approach.c,m05.west.restore,5,4,10,10,3.469,3.469,8.200,4.737
m05.west.restore,m05.arc.01,10,10,7,6,3.469,3.469,8.200,4.874
m05.arc.01,m05.arc.02,7,6,8,6,3.469,3.469,8.200,4.874
m05.arc.02,m05.arc.03,8,6,8,7,3.469,3.469,8.200,4.874
m05.arc.03,m05.arc.04,8,7,3,5,3.469,3.469,6.728,4.413
m05.arc.04,m05.arc.05,3,5,5,6,3.469,3.469,8.200,5.005
m05.arc.05,m05.arc.06,5,6,8,8,3.469,3.469,8.200,4.737
m05.arc.06,m05.arc.07,8,8,7,7,3.469,3.469,8.200,4.874
m05.arc.07,m05.arc.08,7,7,7,7,3.469,3.469,8.200,4.874
m05.arc.08,m05.east.restore,7,7,11,11,3.469,3.469,8.200,4.737
m05.east.restore,m05.ascent.a,11,11,7,7,3.469,3.469,8.200,4.737
m05.ascent.a,m05.ascent.b,7,7,5,4,3.469,3.469,8.200,4.866
m05.ascent.b,m05.ascent.c,5,4,8,6,3.469,3.469,8.200,4.737
m05.ascent.c,m05.lens.restore,8,6,12,10,3.469,3.469,8.200,4.737
m05.lens.restore,m05.lens.a,12,10,7,8,3.469,3.469,8.200,4.874
m05.lens.a,m05.lens.b,7,8,5,4,3.469,3.469,8.200,4.865
m05.lens.b,m05.lens.c,5,4,8,6,3.469,3.469,8.200,4.868
m05.lens.c,m05.patch.base,8,6,12,12,3.469,3.469,8.200,4.737
