from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,5,3,7.800,7.800,4.996,4.629
m05.approach.a,m05.approach.b,5,3,7,4,7.800,7.800,7.506,5.012
m05.approach.b,m05.approach.c,7,4,5,4,7.800,7.800,7.690,5.023
m05.approach.c,m05.west.restore,5,4,10,10,7.800,7.800,8.200,5.050
m05.west.restore,m05.arc.01,10,10,7,6,8.153,8.153,8.200,5.184
m05.arc.01,m05.arc.02,7,6,8,6,8.112,8.112,8.201,5.191
m05.arc.02,m05.arc.03,8,6,8,7,7.800,7.800,8.228,5.204
m05.arc.03,m05.arc.04,8,7,3,5,8.130,8.130,4.728,4.597
m05.arc.04,m05.arc.05,3,5,5,6,7.800,7.800,8.200,5.231
m05.arc.05,m05.arc.06,5,6,8,8,8.200,8.200,8.200,5.055
m05.arc.06,m05.arc.07,8,8,7,7,8.029,8.029,8.203,5.191
m05.arc.07,m05.arc.08,7,7,7,7,7.800,7.800,8.215,5.196
m05.arc.08,m05.east.restore,7,7,11,11,8.177,8.177,8.200,5.055
m05.east.restore,m05.ascent.a,11,11,7,7,7.800,7.800,8.209,5.056
m05.ascent.a,m05.ascent.b,7,7,5,4,8.173,8.173,8.081,5.141
m05.ascent.b,m05.ascent.c,5,4,8,6,8.081,8.081,8.200,5.053
m05.ascent.c,m05.lens.restore,8,6,12,10,8.080,8.080,8.200,5.053
m05.lens.restore,m05.lens.a,12,10,7,8,7.800,7.800,8.537,5.391
m05.lens.a,m05.lens.b,7,8,5,4,8.529,8.529,7.697,5.261
m05.lens.b,m05.lens.c,5,4,8,6,7.800,7.800,8.200,5.092
m05.lens.c,m05.patch.base,8,6,12,12,8.123,8.123,8.200,5.054
