from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,5,3,7.800,7.800,6.061,4.889
m05.approach.a,m05.approach.b,5,3,7,4,7.800,7.800,8.200,5.105
m05.approach.b,m05.approach.c,7,4,5,4,7.800,7.800,8.200,5.083
m05.approach.c,m05.west.restore,5,4,10,10,7.800,7.800,8.200,5.050
m05.west.restore,m05.arc.01,10,10,7,6,7.800,7.800,8.200,5.187
m05.arc.01,m05.arc.02,7,6,8,6,7.800,7.800,8.200,5.187
m05.arc.02,m05.arc.03,8,6,8,7,7.800,7.800,8.200,5.187
m05.arc.03,m05.arc.04,8,7,3,5,7.800,7.800,5.698,4.996
m05.arc.04,m05.arc.05,3,5,5,6,7.800,7.800,8.200,5.295
m05.arc.05,m05.arc.06,5,6,8,8,7.800,7.800,8.200,5.050
m05.arc.06,m05.arc.07,8,8,7,7,7.800,7.800,8.200,5.187
m05.arc.07,m05.arc.08,7,7,7,7,7.800,7.800,8.200,5.187
m05.arc.08,m05.east.restore,7,7,11,11,7.800,7.800,8.200,5.050
m05.east.restore,m05.ascent.a,11,11,7,7,7.800,7.800,8.200,5.050
m05.ascent.a,m05.ascent.b,7,7,5,4,7.800,7.800,8.200,5.155
m05.ascent.b,m05.ascent.c,5,4,8,6,7.800,7.800,8.200,5.050
m05.ascent.c,m05.lens.restore,8,6,12,10,7.800,7.800,8.200,5.050
m05.lens.restore,m05.lens.a,12,10,7,8,7.800,7.800,8.429,5.326
m05.lens.a,m05.lens.b,7,8,5,4,7.800,7.800,8.200,5.142
m05.lens.b,m05.lens.c,5,4,8,6,7.800,7.800,8.200,5.158
m05.lens.c,m05.patch.base,8,6,12,12,7.800,7.800,8.200,5.050
