id,change,beforeX,beforeY,beforeZ,beforeWidth,beforeHeight,beforeDepth,afterX,afterY,afterZ,afterWidth,afterHeight,afterDepth
m05.arrival,retained,-24.0,0.0,12.0,8.0,0.6,14.0,-24.0,0.0,12.0,8.0,0.6,14.0
m05.approach.a,reauthored,-24.0,0.2,23.5,5.0,0.6,3.0,-24.0,0.0,22.5,9.0,0.6,2.0
m05.approach.b,reauthored,-22.0,0.4,30.0,7.0,0.6,4.0,-24.0,0.0,26.5,10.0,0.6,3.0
m05.approach.c,reauthored,-24.0,0.6,37.0,5.0,0.6,4.0,-24.0,0.0,31.0,11.0,0.6,3.0
m05.west.restore,reauthored,-24.0,1.0,47.0,10.0,0.6,10.0,-24.0,0.2,39.0,14.0,0.6,8.0
m05.arc.01,reauthored,-21.0,1.2,58.0,7.0,0.6,6.0,-24.0,0.2,47.0,10.0,0.6,3.0
m05.arc.02,reauthored,-16.0,1.4,67.0,8.0,0.6,6.0,-25.0,0.2,52.0,10.0,0.6,4.0
m05.arc.03,reauthored,-6.0,1.6,71.0,8.0,0.6,7.0,-27.0,0.2,58.0,11.0,0.6,5.0
m05.arc.06,reauthored,19.0,2.0,68.0,8.0,0.6,8.0,-38.0,0.2,76.5,12.0,0.6,6.0
m05.arc.07,removed,28.5,2.2,61.0,7.0,0.6,7.0,,,,,,
m05.arc.08,removed,32.0,2.4,51.0,7.0,0.6,7.0,,,,,,
m05.east.restore,reauthored,34.0,2.8,39.0,11.0,0.6,11.0,-43.0,0.4,88.0,16.0,0.6,11.0
m05.ascent.a,reauthored,45.0,3.1,31.0,7.0,0.6,7.0,-47.0,0.6,97.5,14.0,0.6,3.0
m05.ascent.b,reauthored,50.0,3.3,23.0,5.0,0.6,4.0,-50.0,0.8,102.5,14.0,0.6,3.5
m05.ascent.c,reauthored,56.0,3.6,16.0,8.0,0.6,6.0,-53.0,1.0,108.0,14.0,0.6,4.0
m05.lens.restore,reauthored,68.0,4.0,9.0,12.0,0.6,10.0,-58.0,1.2,117.0,20.0,0.6,10.0
m05.lens.a,reauthored,72.0,4.2,21.0,7.0,0.6,8.0,-58.0,1.2,126.0,10.0,0.6,3.0
m05.lens.b,reauthored,76.0,4.4,30.0,5.0,0.6,4.0,-58.0,1.2,131.0,11.0,0.6,4.0
m05.lens.c,reauthored,75.0,4.6,37.5,8.0,0.6,6.0,-58.0,1.2,137.0,12.0,0.6,4.0
m05.patch.base,reauthored,70.0,5.0,49.5,12.0,0.6,12.0,-58.0,1.2,146.0,14.0,0.6,10.0
m05.arc.04,reauthored,2.5,1.6,72.0,3.0,0.6,5.0,-30.0,0.2,64.0,12.0,0.6,3.0
m05.arc.05,reauthored,9.5,1.6,70.0,5.0,0.6,6.0,-34.0,0.2,70.0,12.0,0.6,4.0
