from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,9,2,7.800,7.800,3.290,3.640
m05.approach.a,m05.approach.b,9,2,10,3,7.800,7.800,2.583,3.113
m05.approach.b,m05.approach.c,10,3,11,3,7.800,7.800,2.605,3.131
m05.approach.c,m05.west.restore,11,3,14,8,7.800,7.800,8.200,5.187
m05.west.restore,m05.arc.01,14,8,10,3,8.200,8.200,3.922,4.093
m05.arc.01,m05.arc.02,10,3,10,4,7.800,7.800,3.304,3.648
m05.arc.02,m05.arc.03,10,4,11,5,7.800,7.800,4.383,4.377
m05.arc.03,m05.arc.04,11,5,12,3,7.800,7.800,3.868,4.059
m05.arc.04,m05.arc.05,12,3,12,4,7.800,7.800,7.726,5.162
m05.arc.05,m05.arc.06,12,4,12,6,7.800,7.800,7.190,5.123
m05.arc.06,m05.east.restore,12,6,16,11,7.800,7.800,8.200,5.187
m05.east.restore,m05.ascent.a,16,11,14,3,8.200,8.200,4.601,4.402
m05.ascent.a,m05.ascent.b,14,3,14,3.5,7.800,7.800,4.305,4.209
m05.ascent.b,m05.ascent.c,14,3.5,14,4,7.800,7.800,4.605,4.391
m05.ascent.c,m05.lens.restore,14,4,20,10,7.800,7.800,8.200,5.187
m05.lens.restore,m05.lens.a,20,10,10,3,7.855,7.855,3.930,4.075
m05.lens.a,m05.lens.b,10,3,11,4,7.800,7.800,3.142,3.547
m05.lens.b,m05.lens.c,11,4,12,4,7.800,7.800,3.875,4.063
m05.lens.c,m05.patch.base,12,4,14,10,7.800,7.800,8.200,5.323
