from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,9,2,7.800,7.800,3.792,3.984
m05.approach.a,m05.approach.b,9,2,10,3,6.795,6.795,3.128,3.490
m05.approach.b,m05.approach.c,10,3,11,3,7.800,7.800,3.043,3.485
m05.approach.c,m05.west.restore,11,3,14,8,7.800,7.800,8.200,5.187
m05.west.restore,m05.arc.01,14,8,10,3,7.800,7.800,4.420,4.398
m05.arc.01,m05.arc.02,10,3,10,4,7.800,7.800,3.865,4.030
m05.arc.02,m05.arc.03,10,4,11,5,7.800,7.800,4.799,4.627
m05.arc.03,m05.arc.04,11,5,12,3,7.800,7.800,4.312,4.325
m05.arc.04,m05.arc.05,12,3,12,4,7.800,7.800,8.200,5.241
m05.arc.05,m05.arc.06,12,4,12,6,7.800,7.800,8.200,5.216
m05.arc.06,m05.east.restore,12,6,16,11,7.800,7.800,8.200,5.187
m05.east.restore,m05.ascent.a,16,11,14,3,7.800,7.800,5.283,4.799
m05.ascent.a,m05.ascent.b,14,3,14,3.5,7.800,7.800,4.917,4.586
m05.ascent.b,m05.ascent.c,14,3.5,14,4,7.800,7.800,5.256,4.774
m05.ascent.c,m05.lens.restore,14,4,20,10,7.800,7.800,8.200,5.187
m05.lens.restore,m05.lens.a,20,10,10,3,7.800,7.800,4.483,4.433
m05.lens.a,m05.lens.b,10,3,11,4,7.800,7.800,3.712,3.932
m05.lens.b,m05.lens.c,11,4,12,4,7.800,7.800,4.495,4.440
m05.lens.c,m05.patch.base,12,4,14,10,7.800,7.800,8.200,5.323
