sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
acceleration,slow,clean,m05.arrival,m05.approach.a,,6.124,7.380,4.596,9,2,0.00,0.000,0.552
acceleration,slow,clean,m05.approach.a,m05.approach.b,,0.000,7.380,3.887,10,3,0.00,0.000,0.776
acceleration,slow,clean,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,0.000,0.500
acceleration,slow,clean,m05.approach.c,m05.west.restore,,2.912,7.380,4.231,14,8,0.00,0.000,-2.823
acceleration,slow,left,m05.arrival,m05.approach.a,,6.188,7.384,4.600,9,2,2.09,0.045,0.543
acceleration,slow,left,m05.approach.a,m05.approach.b,,0.000,7.380,3.886,10,3,0.00,-0.025,0.760
acceleration,slow,left,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,0.005,0.483
acceleration,slow,left,m05.approach.c,m05.west.restore,,2.912,7.380,4.231,14,8,0.00,0.004,-2.840
acceleration,slow,right,m05.arrival,m05.approach.a,,6.188,7.384,4.600,9,2,-2.09,-0.045,0.543
acceleration,slow,right,m05.approach.a,m05.approach.b,,0.000,7.380,3.886,10,3,0.00,0.025,0.760
acceleration,slow,right,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,-0.005,0.483
acceleration,slow,right,m05.approach.c,m05.west.restore,,2.912,7.380,4.231,14,8,0.00,-0.004,-2.840
acceleration,slow,early,m05.arrival,m05.approach.a,,6.124,7.380,4.596,9,2,0.00,0.000,0.559
acceleration,slow,early,m05.approach.a,m05.approach.b,,0.000,7.380,3.887,10,3,0.00,0.000,0.783
acceleration,slow,early,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,0.000,0.507
acceleration,slow,early,m05.approach.c,m05.west.restore,,2.427,7.380,4.169,14,8,0.00,0.000,-2.906
acceleration,slow,late,m05.arrival,m05.approach.a,,6.535,7.380,4.606,9,2,0.00,0.000,0.665
acceleration,slow,late,m05.approach.a,m05.approach.b,,0.000,7.380,3.886,10,3,0.00,0.000,0.889
acceleration,slow,late,m05.approach.b,m05.approach.c,,0.000,7.380,3.886,11,3,0.00,0.000,0.612
acceleration,slow,late,m05.approach.c,m05.west.restore,,0.000,7.380,3.763,14,8,0.00,0.000,-3.287
acceleration,slow,heading,m05.arrival,m05.approach.a,,6.201,7.380,4.598,9,2,-0.49,0.012,0.556
acceleration,slow,heading,m05.approach.a,m05.approach.b,,0.000,7.380,3.886,10,3,0.00,-0.003,0.780
