sequence,mode,error,reachedRecovery,landings,finalZ,fatal
acceleration,slow,clean,True,4,36.514,False
acceleration,slow,left,True,4,36.498,False
acceleration,slow,right,True,4,36.498,False
acceleration,slow,early,True,4,36.432,False
acceleration,slow,late,True,4,36.051,False
acceleration,slow,heading,True,4,36.429,False
acceleration,flow,clean,True,2,37.687,False
acceleration,flow,left,True,2,37.675,False
acceleration,flow,right,True,2,37.675,False
acceleration,flow,early,True,2,37.337,False
acceleration,flow,late,True,2,37.837,False
acceleration,flow,heading,True,2,37.658,False
acceleration,expert,clean,True,2,42.792,False
acceleration,expert,left,True,2,42.780,False
acceleration,expert,right,True,2,42.780,False
acceleration,expert,early,True,2,42.442,False
acceleration,expert,late,True,2,42.942,False
acceleration,expert,heading,True,2,42.755,False
sweep,slow,clean,True,7,83.397,False
sweep,slow,left,True,7,83.433,False
sweep,slow,right,True,7,83.398,False
sweep,slow,early,True,7,83.403,False
sweep,slow,late,True,7,83.404,False
sweep,slow,heading,True,7,83.399,False
sweep,flow,clean,True,5,84.517,False
sweep,flow,left,True,5,84.721,False
sweep,flow,right,True,5,84.353,False
sweep,flow,early,True,5,84.204,False
sweep,flow,late,True,5,84.651,False
sweep,flow,heading,True,5,84.464,False
sweep,expert,clean,True,4,85.431,False
sweep,expert,left,True,4,85.541,False
sweep,expert,right,True,4,85.400,False
sweep,expert,early,True,4,85.124,False
sweep,expert,late,True,4,85.564,False
sweep,expert,heading,True,4,85.566,False
diagonal,slow,clean,True,4,113.768,False
diagonal,slow,left,True,4,113.749,False
diagonal,slow,right,True,4,113.761,False
diagonal,slow,early,True,4,113.738,False
diagonal,slow,late,True,4,113.739,False
diagonal,slow,heading,True,4,113.765,False
diagonal,flow,clean,True,3,116.984,False
diagonal,flow,left,True,3,116.984,False
diagonal,flow,right,True,3,116.984,False
diagonal,flow,early,True,3,116.634,False
diagonal,flow,late,True,3,117.134,False
diagonal,flow,heading,True,3,117.303,False
diagonal,expert,clean,True,2,114.913,False
diagonal,expert,left,True,2,114.913,False
diagonal,expert,right,True,2,114.913,False
diagonal,expert,early,True,2,114.563,False
diagonal,expert,late,True,2,115.063,False
diagonal,expert,heading,True,2,115.289,False
final,slow,clean,True,4,143.411,False
final,slow,left,True,4,143.405,False
final,slow,right,True,4,143.405,False
final,slow,early,True,4,143.418,False
final,slow,late,True,4,143.421,False
final,slow,heading,True,4,143.415,False
final,flow,clean,True,3,148.745,False
final,flow,left,True,3,148.728,False
final,flow,right,True,3,148.728,False
final,flow,early,True,3,148.395,False
final,flow,late,True,3,148.895,False
final,flow,heading,True,3,148.711,False
final,expert,clean,True,2,146.084,False
final,expert,left,True,2,146.072,False
final,expert,right,True,2,146.072,False
final,expert,early,True,2,145.734,False
final,expert,late,True,2,146.234,False
final,expert,heading,True,2,146.046,False
