from,to,fromWidth,fromLength,toWidth,toLength,approachSpeed,takeoffSpeed,landingSpeed,flightDistance
m05.arrival,m05.approach.a,8,14,9,2,3.469,3.469,5.236,3.497
m05.approach.a,m05.approach.b,9,2,10,3,3.469,3.469,4.234,3.007
m05.approach.b,m05.approach.c,10,3,11,3,3.469,3.469,4.213,2.996
m05.approach.c,m05.west.restore,11,3,14,8,3.469,3.469,8.200,4.874
m05.west.restore,m05.arc.01,14,8,10,3,3.469,3.469,6.116,3.957
m05.arc.01,m05.arc.02,10,3,10,4,3.469,3.469,5.308,3.541
m05.arc.02,m05.arc.03,10,4,11,5,3.469,3.469,6.271,4.126
m05.arc.03,m05.arc.04,11,5,12,3,3.469,3.469,5.988,3.884
m05.arc.04,m05.arc.05,12,3,12,4,3.469,3.469,8.200,4.919
m05.arc.05,m05.arc.06,12,4,12,6,3.469,3.469,8.200,4.892
m05.arc.06,m05.east.restore,12,6,16,11,3.469,3.469,8.200,4.874
m05.east.restore,m05.ascent.a,16,11,14,3,3.469,3.469,8.200,4.874
m05.ascent.a,m05.ascent.b,14,3,14,3.5,3.469,3.469,6.309,4.014
m05.ascent.b,m05.ascent.c,14,3.5,14,4,3.469,3.469,6.495,4.181
m05.ascent.c,m05.lens.restore,14,4,20,10,3.469,3.469,8.200,4.874
m05.lens.restore,m05.lens.a,20,10,10,3,3.469,3.469,6.163,3.984
m05.lens.a,m05.lens.b,10,3,11,4,3.469,3.469,5.058,3.482
m05.lens.b,m05.lens.c,11,4,12,4,3.469,3.469,6.068,3.979
m05.lens.c,m05.patch.base,12,4,14,10,3.469,3.469,8.200,5.010
