kind,name,detail
scene,instances,331
scene,instancedTriangles,119750
scene,materials,25
scene,shadowCasters,299
scene,lodGroups,0
machine,gpu,NVIDIA GeForce RTX 5070
material,RB Module Normal,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,Ivory,Universal Render Pipeline/Lit instancing=True
material,Moss,Universal Render Pipeline/Lit instancing=False
material,Rock,Universal Render Pipeline/Lit instancing=True
material,Structure,Universal Render Pipeline/Lit instancing=True
material,Cyan,Universal Render Pipeline/Lit instancing=False
material,Stone,Universal Render Pipeline/Lit instancing=True
material,MAT_RR_Block_Standard,Universal Render Pipeline/Lit instancing=False
texture,RR_Block_Standard_Base,1024x1024 _MainTex
texture,RR_Block_Standard_Normal,1024x1024 _BumpMap
texture,RR_Block_Standard_Base,1024x1024 _BaseMap
texture,RR_Block_Standard_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Block_Standard_CyanEmission,1024x1024 _EmissionMap
material,Rock,Universal Render Pipeline/Lit instancing=False
texture,MineralGrain,256x256 _MainTex
texture,MineralGrain,256x256 _BaseMap
material,MAT_RR_Platform_Long,Universal Render Pipeline/Lit instancing=False
texture,RR_Platform_Long_Base,1024x1024 _MainTex
texture,RR_Platform_Long_Normal,1024x1024 _BumpMap
texture,RR_Platform_Long_Base,1024x1024 _BaseMap
texture,RR_Platform_Long_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Platform_Long_CyanEmission,1024x1024 _EmissionMap
material,Snow,Universal Render Pipeline/Lit instancing=False
material,Strata,Universal Render Pipeline/Lit instancing=False
texture,MineralGrain,256x256 _MainTex
texture,MineralGrain,256x256 _BaseMap
material,Gold,Universal Render Pipeline/Lit instancing=False
material,RB Module Precision,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,LeafSun,Universal Render Pipeline/Lit instancing=False
material,RB Module Moving,Universal Render Pipeline/Lit instancing=False
material,Metal,Universal Render Pipeline/Lit instancing=False
material,Bark,Universal Render Pipeline/Lit instancing=False
material,Stone,Universal Render Pipeline/Lit instancing=False
texture,MineralGrain,256x256 _MainTex
texture,MineralGrain,256x256 _BaseMap
material,Flow Shard Cyan,Universal Render Pipeline/Lit instancing=False
material,Foam,RYDERS ROAD/Mountain Waterfall instancing=False
material,Leaf,Universal Render Pipeline/Lit instancing=False
material,Lit,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_PatchBlock,Universal Render Pipeline/Lit instancing=False
texture,RR_PatchBlock_Base,2048x2048 _MainTex
texture,RR_PatchBlock_Normal,2048x2048 _BumpMap
texture,RR_PatchBlock_Base,2048x2048 _BaseMap
texture,RR_PatchBlock_Metallic,2048x2048 _MetallicGlossMap
texture,RR_PatchBlock_CyanEmission,2048x2048 _EmissionMap
material,Water,RYDERS ROAD/Mountain Waterfall instancing=False
