kind,name,detail
scene,instances,200
scene,instancedTriangles,242805
scene,materials,32
scene,shadowCasters,155
scene,lodGroups,0
machine,gpu,NVIDIA GeForce RTX 5070
material,MAT_RR_Pillar_Tall,Universal Render Pipeline/Lit instancing=False
texture,RR_Pillar_Tall_Base,1024x1024 _MainTex
texture,RR_Pillar_Tall_Normal,1024x1024 _BumpMap
texture,RR_Pillar_Tall_Base,1024x1024 _BaseMap
texture,RR_Pillar_Tall_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Pillar_Tall_CyanEmission,1024x1024 _EmissionMap
material,Structure,Universal Render Pipeline/Lit instancing=True
material,RB Module Normal,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,MAT_RR_World_Ancient_Ivory,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_World_Subtle_Vegetation,Universal Render Pipeline/Lit instancing=False
material,Cyan,Universal Render Pipeline/Lit instancing=True
material,MAT_RR_RuinedTower,Universal Render Pipeline/Lit instancing=False
texture,RR_RuinedTower_Base,1024x1024 _MainTex
texture,RR_RuinedTower_Normal,1024x1024 _BumpMap
texture,RR_RuinedTower_Base,1024x1024 _BaseMap
texture,RR_RuinedTower_Metallic,1024x1024 _MetallicGlossMap
texture,RR_RuinedTower_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_FloatingArch,Universal Render Pipeline/Lit instancing=False
texture,RR_FloatingArch_Base,1024x1024 _MainTex
texture,RR_FloatingArch_Normal,1024x1024 _BumpMap
texture,RR_FloatingArch_Base,1024x1024 _BaseMap
texture,RR_FloatingArch_Metallic,1024x1024 _MetallicGlossMap
texture,RR_FloatingArch_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_Rock_Broken,Universal Render Pipeline/Lit instancing=False
texture,RR_Rock_Broken_Base,1024x1024 _MainTex
texture,RR_Rock_Broken_Normal,1024x1024 _BumpMap
texture,RR_Rock_Broken_Base,1024x1024 _BaseMap
texture,RR_Rock_Broken_Metallic,1024x1024 _MetallicGlossMap
material,RB Module Precision,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,MAT_RR_World_Deep_Slate,Universal Render Pipeline/Lit instancing=False
material,Stone,Universal Render Pipeline/Lit instancing=True
material,Lit,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_World_Ancient_Gold,Universal Render Pipeline/Lit instancing=False
material,RB Module Crumbling,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_Block_Standard,Universal Render Pipeline/Lit instancing=False
texture,RR_Block_Standard_Base,1024x1024 _MainTex
texture,RR_Block_Standard_Normal,1024x1024 _BumpMap
texture,RR_Block_Standard_Base,1024x1024 _BaseMap
texture,RR_Block_Standard_Metallic,1024x1024 _MetallicGlossMap
