kind,name,detail
scene,instances,331
scene,instancedTriangles,319802
scene,materials,24
scene,shadowCasters,208
scene,lodGroups,0
machine,gpu,NVIDIA GeForce RTX 5070
material,Structure,Universal Render Pipeline/Lit instancing=True
material,RB Module Precision,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,Cyan,Universal Render Pipeline/Lit instancing=True
material,RB Module Cloud,Universal Render Pipeline/Lit instancing=False
material,Ivory,Universal Render Pipeline/Lit instancing=True
material,RB Module Normal,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_RouteStone_02,512x512 _MainTex
texture,RydersRoad_RouteStone_02,512x512 _BaseMap
material,RB Module Crumbling,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_Crumble_Stage1,Universal Render Pipeline/Lit instancing=False
texture,RR_Crumble_Stage1_Base,1024x1024 _MainTex
texture,RR_Crumble_Stage1_Normal,1024x1024 _BumpMap
texture,RR_Crumble_Stage1_Base,1024x1024 _BaseMap
texture,RR_Crumble_Stage1_Metallic,1024x1024 _MetallicGlossMap
material,MAT_RR_Tree_Floating,Universal Render Pipeline/Lit instancing=False
texture,RR_Tree_Floating_Base,1024x1024 _MainTex
texture,RR_Tree_Floating_Normal,1024x1024 _BumpMap
texture,RR_Tree_Floating_Base,1024x1024 _BaseMap
texture,RR_Tree_Floating_Metallic,1024x1024 _MetallicGlossMap
material,MAT_RR_RuinedTower,Universal Render Pipeline/Lit instancing=False
texture,RR_RuinedTower_Base,1024x1024 _MainTex
texture,RR_RuinedTower_Normal,1024x1024 _BumpMap
texture,RR_RuinedTower_Base,1024x1024 _BaseMap
texture,RR_RuinedTower_Metallic,1024x1024 _MetallicGlossMap
texture,RR_RuinedTower_CyanEmission,1024x1024 _EmissionMap
material,Lit,Universal Render Pipeline/Lit instancing=False
material,RB Module CrumbleFault,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_EnergyPillar,Universal Render Pipeline/Lit instancing=False
texture,RR_EnergyPillar_Base,2048x2048 _MainTex
texture,RR_EnergyPillar_Normal,2048x2048 _BumpMap
texture,RR_EnergyPillar_Base,2048x2048 _BaseMap
texture,RR_EnergyPillar_Metallic,2048x2048 _MetallicGlossMap
texture,RR_EnergyPillar_CyanEmission,2048x2048 _EmissionMap
material,MAT_RR_FloatingArch,Universal Render Pipeline/Lit instancing=False
texture,RR_FloatingArch_Base,1024x1024 _MainTex
texture,RR_FloatingArch_Normal,1024x1024 _BumpMap
texture,RR_FloatingArch_Base,1024x1024 _BaseMap
texture,RR_FloatingArch_Metallic,1024x1024 _MetallicGlossMap
texture,RR_FloatingArch_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_Rock_Broken,Universal Render Pipeline/Lit instancing=False
texture,RR_Rock_Broken_Base,1024x1024 _MainTex
texture,RR_Rock_Broken_Normal,1024x1024 _BumpMap
texture,RR_Rock_Broken_Base,1024x1024 _BaseMap
texture,RR_Rock_Broken_Metallic,1024x1024 _MetallicGlossMap
material,Cyan,Universal Render Pipeline/Lit instancing=False
material,RB Module Corruption,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_Platform_Long,Universal Render Pipeline/Lit instancing=False
texture,RR_Platform_Long_Base,1024x1024 _MainTex
texture,RR_Platform_Long_Normal,1024x1024 _BumpMap
texture,RR_Platform_Long_Base,1024x1024 _BaseMap
texture,RR_Platform_Long_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Platform_Long_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_Block_Standard,Universal Render Pipeline/Lit instancing=False
texture,RR_Block_Standard_Base,1024x1024 _MainTex
texture,RR_Block_Standard_Normal,1024x1024 _BumpMap
texture,RR_Block_Standard_Base,1024x1024 _BaseMap
texture,RR_Block_Standard_Metallic,1024x1024 _MetallicGlossMap
texture,RR_Block_Standard_CyanEmission,1024x1024 _EmissionMap
material,MAT_RR_GrassTopper,Universal Render Pipeline/Lit instancing=False
texture,RR_GrassTopper_Base,1024x1024 _MainTex
texture,RR_GrassTopper_Normal,1024x1024 _BumpMap
texture,RR_GrassTopper_Base,1024x1024 _BaseMap
texture,RR_GrassTopper_Metallic,1024x1024 _MetallicGlossMap
material,RB Module Moving,Universal Render Pipeline/Lit instancing=False
material,MAT_RR_BoostPad,Universal Render Pipeline/Lit instancing=False
texture,RR_BoostPad_Base,2048x2048 _MainTex
texture,RR_BoostPad_Normal,2048x2048 _BumpMap
texture,RR_BoostPad_Base,2048x2048 _BaseMap
texture,RR_BoostPad_Metallic,2048x2048 _MetallicGlossMap
texture,RR_BoostPad_CyanEmission,2048x2048 _EmissionMap
material,MAT_RR_PatchBlock,Universal Render Pipeline/Lit instancing=False
texture,RR_PatchBlock_Base,2048x2048 _MainTex
texture,RR_PatchBlock_Normal,2048x2048 _BumpMap
texture,RR_PatchBlock_Base,2048x2048 _BaseMap
texture,RR_PatchBlock_Metallic,2048x2048 _MetallicGlossMap
texture,RR_PatchBlock_CyanEmission,2048x2048 _EmissionMap
material,RB Module Boost,Universal Render Pipeline/Lit instancing=False
texture,RydersRoad_GoldRoute_01,512x512 _MainTex
texture,RydersRoad_GoldRoute_01,512x512 _BaseMap
