asset,triangles,submeshes,LOD,collision
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssDeck_Cyan.asset,24,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssDeck_Stone.asset,144,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssFoundations_Stone.asset,960,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssFoundations_Structure.asset,240,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/AncientAbyssFoundations_Warm.asset,960,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainDeck_Ivory.asset,24,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainDeck_Rock.asset,144,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainDeck_Stone.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainFoundations_Rock.asset,384,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/MountainFoundations_Stone.asset,384,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityDeck_Ivory.asset,96,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityDeck_Warm.asset,72,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityFoundations_Ivory.asset,576,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityFoundations_Structure.asset,144,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SkyCityFoundations_Warm.asset,576,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryDeck_Ivory.asset,24,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryDeck_Metal.asset,96,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryDeck_Warm.asset,36,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryFoundations_Metal.asset,120,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryFoundations_Structure.asset,240,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SolarFoundryFoundations_Warm.asset,60,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SpiralDeck_Cyan.asset,12,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SpiralDeck_Ivory.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/SpiralDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/WindwardDeck_Ivory.asset,96,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/WindwardDeck_Metal.asset,24,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/WindwardDeck_Structure.asset,48,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Meshes/WindwardDeck_Warm.asset,72,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-0.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-1.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-2.asset,3767,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-3.asset,3830,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-4.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-5.asset,60,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-6.asset,60,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-7.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.arrival-sanctuary-8.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-0.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-1.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-2.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-3.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-4.asset,3767,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-5.asset,3767,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-6.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.broken-crossing-7.asset,3681,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-0.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-1.asset,4090,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-2.asset,3767,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-3.asset,3767,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-4.asset,60,1,none,source paired for refit; deck visual only
Assets/_Game/Art/Environment/World170/Refit/AncientAbyss/biome.ancient-abyss.place.collapsed-temple-5.asset,60,1,none,source paired for refit; deck visual only
