world,stableID,sourceAsset,finalPrefab,processing,provenance
SkyCity,biome.sky-city.arrival.terrace,Assets/_Game/Art/Environment/SkyCity093/ArrivalTerrace.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.arrival.terrace.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.step.01,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.step.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.step.02,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.step.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.step.03,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.step.03.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.turn.01,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.turn.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.turn.02,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.turn.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.flow.01,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.flow.01.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.flow.02,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.flow.02.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.flow.03,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.flow.03.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.bridge-pier.m01.final-runup,Assets/_Game/Art/Environment/SkyCity093/BrokenBridgePier.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.bridge-pier.m01.final-runup.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
SkyCity,biome.sky-city.garden.restore-court,Assets/_Game/Art/Environment/SkyCity093/SuspendedGarden.prefab,Assets/_Game/Art/Environment/World170/Refit/SkyCity/biome.sky-city.garden.restore-court.prefab,WorldSceneryRefit: route displacement; corridor clearance; copied paired visual/collision mesh,Existing production source provenance retained; see THIRD_PARTY_ASSETS and PHASE_0_5_0_MESHY_ART_KIT
