from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m01.start,m01.step.01,2.220,4.685,4.911,0.000,0.345,8.218
m01.step.01,m01.step.02,3.560,4.685,2.221,0.000,0.345,12.427
m01.step.02,m01.step.03,4.880,4.685,3.778,0.477,0.345,16.794
m01.step.03,m01.turn.01,6.180,4.685,5.857,1.238,0.595,21.606
m01.turn.01,m01.turn.02,7.620,4.685,6.126,2.432,0.795,27.659
m01.turn.02,m01.restore.approach,9.080,4.685,8.200,3.648,0.795,34.892
m01.restore.approach,m01.flow.01,11.480,4.685,5.934,3.991,0.995,45.670
m01.flow.01,m01.flow.02,12.800,4.685,5.298,4.752,1.195,50.695
m01.flow.02,m01.flow.03,14.240,4.685,5.188,5.559,1.395,56.216
m01.flow.03,m01.final-runup,15.660,4.685,5.576,6.352,1.495,61.671
m01.final-runup,m01.patch.base,17.000,4.685,8.200,6.822,1.495,68.389
