from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m01.start,m01.step.01,1.840,7.800,2.911,0.000,0.345,8.404
m01.step.01,m01.step.02,3.080,7.800,1.950,0.000,0.345,12.438
m01.step.02,m01.step.03,4.320,7.800,2.457,0.491,0.345,16.919
m01.step.03,m01.turn.01,5.520,7.800,3.705,1.274,0.595,21.837
m01.turn.01,m01.turn.02,6.820,7.800,3.683,2.474,0.795,27.869
m01.turn.02,m01.restore.approach,8.140,7.800,8.200,3.687,0.795,35.124
m01.restore.approach,m01.flow.01,10.000,7.800,3.577,3.997,0.995,45.872
m01.flow.01,m01.flow.02,11.220,7.800,3.200,4.782,1.195,50.887
m01.flow.02,m01.flow.03,12.520,7.800,3.052,5.584,1.395,56.394
m01.flow.03,m01.final-runup,13.820,7.800,3.240,6.382,1.495,61.874
m01.final-runup,m01.patch.base,15.060,7.800,8.200,6.836,1.495,68.572
