sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
arrival,slow,clean,m01.start,m01.step.01,,6.124,7.380,4.596,8,3,0.00,0.000,0.552
arrival,slow,clean,m01.step.01,m01.step.02,,0.971,7.380,4.068,9,3,0.00,0.000,0.978
arrival,slow,clean,m01.step.02,m01.step.03,,0.000,7.380,3.887,9,3,0.00,0.103,0.655
arrival,slow,clean,m01.step.03,m01.turn.01,,0.000,7.380,3.702,10,4,0.00,-0.057,-0.357
arrival,slow,clean,m01.turn.01,m01.turn.02,,6.124,7.380,4.473,10,4,0.00,-0.025,-0.128
arrival,slow,clean,m01.turn.02,m01.restore.approach,,6.124,7.380,4.596,14,10,0.00,-0.497,-2.995
arrival,slow,left,m01.start,m01.step.01,,6.188,7.384,4.600,8,3,2.09,0.045,0.543
arrival,slow,left,m01.step.01,m01.step.02,,1.941,7.380,4.224,9,3,0.00,-0.039,1.154
arrival,slow,left,m01.step.02,m01.step.03,,0.000,7.380,3.887,9,3,0.00,0.149,0.814
arrival,slow,left,m01.step.03,m01.turn.01,,0.000,7.380,3.702,10,4,0.00,-0.030,-0.195
arrival,slow,left,m01.turn.01,m01.turn.02,,6.124,7.380,4.473,10,4,0.00,-0.023,-0.117
arrival,slow,left,m01.turn.02,m01.restore.approach,,6.124,7.380,4.596,14,10,0.00,-0.495,-2.985
arrival,slow,right,m01.start,m01.step.01,,6.188,7.384,4.600,8,3,-2.09,-0.045,0.543
arrival,slow,right,m01.step.01,m01.step.02,,1.941,7.380,4.224,9,3,0.00,0.039,1.154
arrival,slow,right,m01.step.02,m01.step.03,,0.000,7.380,3.886,9,3,0.00,0.125,0.835
arrival,slow,right,m01.step.03,m01.turn.01,,0.000,7.380,3.702,10,4,0.00,-0.029,-0.178
arrival,slow,right,m01.turn.01,m01.turn.02,,6.124,7.380,4.473,10,4,0.00,-0.030,-0.150
arrival,slow,right,m01.turn.02,m01.restore.approach,,6.124,7.380,4.596,14,10,0.00,-0.493,-2.968
arrival,slow,early,m01.start,m01.step.01,,6.124,7.380,4.596,8,3,0.00,0.000,0.559
arrival,slow,early,m01.step.01,m01.step.02,,0.485,7.380,3.981,9,3,0.00,0.000,0.886
arrival,slow,early,m01.step.02,m01.step.03,,0.000,7.380,3.887,9,3,0.00,0.086,0.565
arrival,slow,early,m01.step.03,m01.turn.01,,0.971,7.380,3.884,10,4,0.00,-0.040,-0.247
arrival,slow,early,m01.turn.01,m01.turn.02,,6.124,7.380,4.473,10,4,0.00,-0.024,-0.119
arrival,slow,early,m01.turn.02,m01.restore.approach,,6.124,7.380,4.596,14,10,0.00,-0.495,-2.987
arrival,slow,late,m01.start,m01.step.01,,6.535,7.380,4.606,8,3,0.00,0.000,0.665
arrival,slow,late,m01.step.01,m01.step.02,,0.000,7.380,3.887,9,3,0.00,0.000,0.889
arrival,slow,late,m01.step.02,m01.step.03,,0.000,7.380,3.887,9,3,0.00,0.087,0.568
arrival,slow,late,m01.step.03,m01.turn.01,,0.971,7.380,3.884,10,4,0.00,-0.040,-0.244
arrival,slow,late,m01.turn.01,m01.turn.02,,6.124,7.380,4.473,10,4,0.00,-0.023,-0.116
arrival,slow,late,m01.turn.02,m01.restore.approach,,6.124,7.380,4.596,14,10,0.00,-0.495,-2.984
arrival,slow,heading,m01.start,m01.step.01,,6.201,7.380,4.598,8,3,-0.49,0.012,0.556
