sequence,mode,error,reachedRecovery,landings,finalZ,fatal
arrival,slow,clean,True,6,34.337,False
arrival,slow,left,True,6,34.348,False
arrival,slow,right,True,6,34.365,False
arrival,slow,early,True,6,34.346,False
arrival,slow,late,True,6,34.349,False
arrival,slow,heading,True,6,34.341,False
arrival,flow,clean,True,4,39.449,False
arrival,flow,left,True,4,39.312,False
arrival,flow,right,True,4,39.552,False
arrival,flow,early,True,4,39.100,False
arrival,flow,late,True,4,39.598,False
arrival,flow,heading,True,4,39.505,False
arrival,expert,clean,True,3,39.135,False
arrival,expert,left,True,3,38.985,False
arrival,expert,right,True,3,39.255,False
arrival,expert,early,True,3,38.788,False
arrival,expert,late,True,3,39.284,False
arrival,expert,heading,True,3,39.209,False
terraces,slow,clean,True,5,67.667,False
terraces,slow,left,True,5,67.751,False
terraces,slow,right,True,5,67.746,False
terraces,slow,early,True,5,67.674,False
terraces,slow,late,True,5,67.676,False
terraces,slow,heading,True,5,67.674,False
terraces,flow,clean,True,3,67.790,False
terraces,flow,left,True,3,67.678,False
terraces,flow,right,True,3,67.870,False
terraces,flow,early,True,3,67.443,False
terraces,flow,late,True,3,67.939,False
terraces,flow,heading,True,3,67.791,False
terraces,expert,clean,True,3,75.956,False
terraces,expert,left,True,3,75.840,False
terraces,expert,right,True,3,76.040,False
terraces,expert,early,True,3,75.608,False
terraces,expert,late,True,3,76.106,False
terraces,expert,heading,True,3,75.956,False
