from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m02.start,m02.rhythm.01,2.200,4.685,5.118,0.000,0.545,8.222
m02.rhythm.01,m02.rhythm.02,3.520,4.685,5.205,0.000,0.745,13.187
m02.rhythm.02,moving.m02.first,6.320,4.685,3.938,0.002,0.945,18.273
ride,moving.m02.first,8.380,0,0,4.162,0.945,18.342
moving.m02.first,m02.after-moving.01,9.480,4.685,5.725,2.134,1.145,23.700
m02.after-moving.01,m02.after-moving.02,10.900,4.685,6.061,2.948,1.345,29.655
m02.after-moving.02,m02.restore.platform,12.320,4.685,8.200,3.741,1.545,36.681
m02.restore.platform,m02.safe.01,14.780,4.685,5.915,3.025,1.745,47.648
m02.safe.01,m02.safe.02,16.120,4.685,5.633,1.112,1.945,52.713
m02.safe.02,m02.safe.03,17.560,4.685,6.299,-0.882,2.145,58.649
m02.safe.03,m02.safe.04,19.020,4.685,6.178,-2.888,2.345,64.664
m02.safe.04,m02.garden.exit,20.460,4.685,5.946,-3.941,2.545,70.656
m02.garden.exit,m02.ridge.01,22.300,4.685,4.455,-3.034,2.745,77.751
m02.ridge.01,m02.ridge.02,23.860,4.685,5.479,-1.092,2.945,83.718
m02.ridge.02,m02.rejoin,25.300,4.685,8.200,0.334,3.145,90.700
m02.rejoin,moving.m02.final,49.901,4.685,6.873,5.841,3.375,103.669
ride,moving.m02.final,59.581,0,0,8.876,8.760,124.467
moving.m02.final,m02.lift.exit,60.901,4.685,8.200,8.991,9.145,132.793
m02.lift.exit,m02.ascent.01,63.121,4.685,5.930,9.967,9.345,142.677
m02.ascent.01,m02.ascent.02,64.441,4.685,5.377,10.938,9.545,147.687
m02.ascent.02,m02.ascent.03,65.881,4.685,5.963,11.947,9.745,153.681
m02.ascent.03,m02.ascent.04,67.301,4.685,5.914,11.999,9.945,159.681
m02.ascent.04,m02.final-runup,68.720,4.685,6.049,11.056,10.145,165.657
m02.final-runup,m02.patch.base,70.260,4.685,8.200,10.278,10.345,173.249
