from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m02.start,m02.rhythm.01,1.820,7.800,3.120,0.000,0.545,8.389
m02.rhythm.01,m02.rhythm.02,3.040,7.800,3.128,0.000,0.745,13.389
m02.rhythm.02,moving.m02.first,6.160,7.800,2.636,0.003,0.945,18.409
ride,moving.m02.first,8.380,0,0,4.163,0.945,18.432
moving.m02.first,m02.after-moving.01,9.340,7.800,3.403,2.054,1.145,23.890
m02.after-moving.01,m02.after-moving.02,10.640,7.800,3.581,2.980,1.345,29.873
m02.after-moving.02,m02.restore.platform,11.920,7.800,8.200,3.762,1.545,36.861
m02.restore.platform,m02.safe.01,13.820,7.800,3.545,3.009,1.745,47.874
m02.safe.01,m02.safe.02,15.060,7.800,3.353,1.044,1.945,52.889
m02.safe.02,m02.safe.03,16.360,7.800,3.872,-0.955,2.145,58.865
m02.safe.03,m02.safe.04,17.660,7.800,3.874,-2.955,2.345,64.865
m02.safe.04,m02.garden.exit,18.960,7.800,3.599,-3.978,2.545,70.872
m02.garden.exit,m02.ridge.01,20.500,7.800,2.678,-3.013,2.745,77.908
m02.ridge.01,m02.ridge.02,21.860,7.800,3.354,-1.038,2.945,83.887
m02.ridge.02,m02.rejoin,23.160,7.800,8.200,0.382,3.145,90.923
m02.rejoin,moving.m02.final,25.380,7.800,5.717,5.906,3.403,103.872
ride,moving.m02.final,34.861,0,0,8.888,8.759,124.475
moving.m02.final,m02.lift.exit,35.941,7.800,8.200,8.993,9.145,132.949
m02.lift.exit,m02.ascent.01,37.701,7.800,3.575,9.987,9.345,142.873
m02.ascent.01,m02.ascent.02,38.921,7.800,3.201,10.978,9.545,147.890
m02.ascent.02,m02.ascent.03,40.221,7.800,3.596,11.979,9.745,153.873
m02.ascent.03,m02.ascent.04,41.501,7.800,3.689,12.000,9.945,159.866
m02.ascent.04,m02.final-runup,42.801,7.800,3.598,11.021,10.145,165.872
m02.final-runup,m02.patch.base,44.161,7.800,8.200,10.252,10.345,173.490
