sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
ridge,slow,clean,m02.restore.platform,m02.safe.01,,6.158,7.380,4.474,11,3,-0.66,0.042,-0.115
ridge,slow,clean,m02.safe.01,m02.safe.02,,6.124,7.380,4.473,11,4,0.00,-0.066,0.161
ridge,slow,clean,m02.safe.02,m02.safe.03,,6.124,7.380,4.473,12,4,0.00,0.081,-0.248
ridge,slow,clean,m02.safe.03,m02.safe.04,,6.124,7.380,4.473,12,4,0.00,0.090,-0.271
ridge,slow,clean,m02.safe.04,m02.garden.exit,,6.124,7.380,4.473,12,7.7,0.00,0.020,-0.120
ridge,slow,clean,m02.garden.exit,m02.ridge.01,,6.124,7.380,4.473,12,5,0.00,0.118,0.771
ridge,slow,clean,m02.ridge.01,m02.ridge.02,,6.124,7.380,4.473,12,4,0.00,0.079,0.211
ridge,slow,clean,m02.ridge.02,m02.rejoin,,6.124,7.380,4.473,20,12,0.00,-0.784,-4.118
ridge,slow,left,m02.restore.platform,m02.safe.01,,6.156,7.380,4.474,11,3,0.06,0.003,-0.075
ridge,slow,left,m02.safe.01,m02.safe.02,,6.124,7.380,4.473,11,4,0.00,-0.062,0.149
ridge,slow,left,m02.safe.02,m02.safe.03,,6.124,7.380,4.473,12,4,0.00,0.085,-0.260
ridge,slow,left,m02.safe.03,m02.safe.04,,6.124,7.380,4.473,12,4,0.00,0.079,-0.236
ridge,slow,left,m02.safe.04,m02.garden.exit,,6.124,7.380,4.473,12,7.7,0.00,0.014,-0.083
ridge,slow,left,m02.garden.exit,m02.ridge.01,,6.124,7.380,4.473,12,5,0.00,0.117,0.756
ridge,slow,left,m02.ridge.01,m02.ridge.02,,6.124,7.380,4.473,12,4,0.02,0.073,0.197
ridge,slow,left,m02.ridge.02,m02.rejoin,,6.124,7.380,4.473,20,12,0.00,-0.788,-4.132
ridge,slow,right,m02.restore.platform,m02.safe.01,,6.309,7.444,4.511,11,3,-8.41,0.313,-0.201
ridge,slow,right,m02.safe.01,m02.safe.02,,6.124,7.380,4.473,11,4,0.00,-0.042,0.092
ridge,slow,right,m02.safe.02,m02.safe.03,,6.124,7.380,4.473,12,4,0.00,0.072,-0.221
ridge,slow,right,m02.safe.03,m02.safe.04,,6.124,7.380,4.473,12,4,0.00,0.082,-0.245
ridge,slow,right,m02.safe.04,m02.garden.exit,,6.124,7.380,4.473,12,7.7,0.00,0.015,-0.093
ridge,slow,right,m02.garden.exit,m02.ridge.01,,6.124,7.380,4.473,12,5,0.00,0.115,0.747
ridge,slow,right,m02.ridge.01,m02.ridge.02,,6.124,7.380,4.473,12,4,0.00,0.070,0.188
ridge,slow,right,m02.ridge.02,m02.rejoin,,6.124,7.380,4.473,20,12,0.00,-0.790,-4.141
ridge,slow,early,m02.restore.platform,m02.safe.01,,6.124,7.380,4.473,11,3,0.00,0.021,-0.106
ridge,slow,early,m02.safe.01,m02.safe.02,,6.124,7.380,4.473,11,4,0.00,-0.072,0.175
ridge,slow,early,m02.safe.02,m02.safe.03,,6.124,7.380,4.473,12,4,0.00,0.076,-0.234
ridge,slow,early,m02.safe.03,m02.safe.04,,6.124,7.380,4.473,12,4,0.00,0.086,-0.257
ridge,slow,early,m02.safe.04,m02.garden.exit,,6.124,7.380,4.473,12,7.7,0.00,0.017,-0.105
ridge,slow,early,m02.garden.exit,m02.ridge.01,,6.124,7.380,4.473,12,5,0.00,0.113,0.735
ridge,slow,early,m02.ridge.01,m02.ridge.02,,6.124,7.380,4.473,12,4,0.02,0.084,0.225
ridge,slow,early,m02.ridge.02,m02.rejoin,,6.124,7.380,4.473,20,12,0.00,-0.780,-4.104
ridge,slow,late,m02.restore.platform,m02.safe.01,,6.633,7.447,4.521,11,3,-8.19,0.220,0.014
ridge,slow,late,m02.safe.01,m02.safe.02,,6.124,7.380,4.473,11,4,0.00,-0.031,0.068
ridge,slow,late,m02.safe.02,m02.safe.03,,6.124,7.380,4.473,12,4,0.00,0.080,-0.247
ridge,slow,late,m02.safe.03,m02.safe.04,,6.124,7.380,4.473,12,4,0.00,0.090,-0.271
ridge,slow,late,m02.safe.04,m02.garden.exit,,6.124,7.380,4.473,12,7.7,0.00,0.020,-0.119
ridge,slow,late,m02.garden.exit,m02.ridge.01,,6.124,7.380,4.473,12,5,0.00,0.118,0.772
ridge,slow,late,m02.ridge.01,m02.ridge.02,,6.124,7.380,4.473,12,4,0.00,0.079,0.211
