sequence,mode,error,reachedRecovery,landings,finalZ,fatal
ridge,slow,clean,True,8,90.213,False
ridge,slow,left,True,8,90.199,False
ridge,slow,right,True,8,90.191,False
ridge,slow,early,True,8,90.228,False
ridge,slow,late,True,8,90.214,False
ridge,slow,heading,True,8,90.206,False
ridge,flow,clean,True,6,92.975,False
ridge,flow,left,True,6,93.194,False
ridge,flow,right,True,6,92.730,False
ridge,flow,early,True,6,92.535,False
ridge,flow,late,True,6,93.116,False
ridge,flow,heading,True,6,92.925,False
ridge,expert,clean,True,5,97.167,False
ridge,expert,left,True,5,97.370,False
ridge,expert,right,True,5,96.939,False
ridge,expert,early,True,5,96.838,False
ridge,expert,late,True,5,97.308,False
ridge,expert,heading,True,5,97.155,False
summit,slow,clean,True,6,172.772,False
summit,slow,left,True,6,172.783,False
summit,slow,right,True,6,172.764,False
summit,slow,early,True,6,172.785,False
summit,slow,late,True,6,172.762,False
summit,slow,heading,True,6,172.771,False
summit,flow,clean,True,4,172.636,False
summit,flow,left,True,4,172.576,False
summit,flow,right,True,4,172.775,False
summit,flow,early,True,3,172.402,False
summit,flow,late,True,4,172.784,False
summit,flow,heading,True,3,172.394,False
summit,expert,clean,True,3,172.124,False
summit,expert,left,True,3,172.096,False
summit,expert,right,True,3,172.118,False
summit,expert,early,True,3,171.779,False
summit,expert,late,True,3,172.272,False
summit,expert,heading,True,3,171.932,False
