from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m03.start,m03.opening.01,2.200,4.685,5.468,-0.961,0.445,1.165
m03.opening.01,m03.opening.02,3.520,4.685,5.265,-1.471,0.645,6.216
m03.opening.02,m03.opening.03,4.940,4.685,8.200,-1.058,0.845,13.079
m03.opening.03,m03.arrival.approach,6.460,4.685,7.966,0.813,1.045,20.305
m03.arrival.approach,m03.arrival.court,7.960,4.685,8.200,2.983,1.245,27.599
m03.arrival.court,m03.sanctuary.bridge,10.860,4.685,6.475,4.941,1.545,40.598
m03.sanctuary.bridge,m03.crossing.approach,12.180,4.685,8.200,6.684,1.845,46.880
m03.crossing.approach,m03.moving-setup,13.600,4.685,5.732,6.987,2.145,52.638
m03.moving-setup,moving.m03.motion-gallery,18.660,4.685,5.681,6.406,2.471,57.107
ride,moving.m03.motion-gallery,20.700,0,0,-5.329,2.739,61.700
moving.m03.motion-gallery,m03.motion-exit,21.780,4.685,1.956,-5.994,2.845,65.926
m03.motion-exit,m03.temple.entry,23.180,4.685,8.200,-3.680,3.345,72.168
m03.temple.entry,crumble.m03.01,25.400,4.685,6.314,-0.131,3.545,81.651
crumble.m03.01,crumble.m03.02,26.740,4.685,5.629,1.884,3.745,86.710
crumble.m03.02,crumble.m03.03,28.280,4.685,5.264,2.950,3.945,92.707
crumble.m03.03,m03.temple.exit,29.700,4.685,8.200,2.991,4.145,99.725
m03.temple.exit,m03.spine.approach,32.661,4.685,2.458,3.000,4.545,111.911
m03.spine.approach,m03.boost-runup,34.101,4.685,6.892,5.794,4.945,117.584
m03.boost-runup,boost.m03.first,35.521,4.685,2.061,5.998,5.245,121.917
boost.m03.first,m03.boost-landing,36.341,4.685,12.699,0.963,8.145,130.751
m03.boost-landing,m03.final.01,38.921,4.685,6.127,-1.925,8.345,142.652
m03.final.01,m03.final.02,40.241,4.685,5.266,-2.468,8.545,147.688
m03.final.02,m03.final.03,41.681,4.685,5.972,-1.554,8.745,153.661
m03.final.03,m03.final.04,43.141,4.685,6.214,0.384,8.945,159.648
m03.final.04,m03.final.05,44.601,4.685,6.492,2.848,9.145,165.633
m03.final.05,m03.final.06,46.241,4.685,8.200,5.220,9.345,173.415
