from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m03.start,m03.opening.01,1.820,7.800,3.385,-0.984,0.445,1.366
m03.opening.01,m03.opening.02,3.040,7.800,3.172,-1.489,0.645,6.387
m03.opening.02,m03.opening.03,4.320,7.800,8.026,-1.048,0.845,13.257
m03.opening.03,m03.arrival.approach,5.660,7.800,6.740,0.884,1.045,20.577
m03.arrival.approach,m03.arrival.court,6.980,7.800,8.200,3.040,1.245,27.794
m03.arrival.court,m03.sanctuary.bridge,9.120,7.800,4.193,4.975,1.545,40.824
m03.sanctuary.bridge,m03.crossing.approach,10.340,7.800,8.200,6.732,1.845,47.056
m03.crossing.approach,m03.moving-setup,11.600,7.800,3.552,6.996,2.145,52.854
m03.moving-setup,moving.m03.motion-gallery,12.840,7.800,8.043,5.574,2.497,57.439
ride,moving.m03.motion-gallery,14.640,0,0,-5.302,2.738,61.720
moving.m03.motion-gallery,m03.motion-exit,15.580,7.800,1.648,-5.995,2.845,65.938
m03.motion-exit,m03.temple.entry,16.840,7.800,8.200,-3.624,3.345,72.320
m03.temple.entry,crumble.m03.01,18.600,7.800,3.836,-0.049,3.545,81.869
crumble.m03.01,crumble.m03.02,19.840,7.800,3.359,1.956,3.745,86.889
crumble.m03.02,crumble.m03.03,21.200,7.800,3.115,2.982,3.945,92.891
crumble.m03.03,m03.temple.exit,22.480,7.800,8.200,2.996,4.145,99.904
m03.temple.exit,m03.spine.approach,24.660,7.800,2.224,3.000,4.545,111.920
m03.spine.approach,m03.boost-runup,25.960,7.800,4.358,5.926,4.945,117.851
m03.boost-runup,boost.m03.first,27.220,7.800,1.794,5.999,5.245,121.930
boost.m03.first,m03.boost-landing,28.040,7.800,12.471,1.023,8.145,130.583
m03.boost-landing,m03.final.01,30.061,7.800,3.707,-1.972,8.345,142.870
m03.final.01,m03.final.02,31.281,7.800,3.154,-2.489,8.545,147.888
m03.final.02,m03.final.03,32.581,7.800,3.595,-1.521,8.745,153.872
m03.final.03,m03.final.04,33.881,7.800,3.871,0.455,8.945,159.865
m03.final.04,m03.final.05,35.201,7.800,3.853,2.947,9.145,165.872
m03.final.05,m03.final.06,36.621,7.800,8.200,5.296,9.345,173.660
