sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
arrival,slow,clean,m03.start,m03.opening.01,,6.198,7.382,4.538,10,3,-1.63,-0.060,0.429
arrival,slow,clean,m03.opening.01,m03.opening.02,,4.368,7.380,4.376,10,4,0.00,-0.028,0.335
arrival,slow,clean,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,0.00,-0.126,-1.548
arrival,slow,clean,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.294,-1.150
arrival,slow,clean,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.254,-4.227
arrival,slow,left,m03.start,m03.opening.01,,6.162,7.380,4.535,10,3,0.06,-0.030,0.485
arrival,slow,left,m03.opening.01,m03.opening.02,,2.912,7.380,4.231,10,4,0.00,-0.015,0.137
arrival,slow,left,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,0.00,-0.121,-1.542
arrival,slow,left,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.305,-1.193
arrival,slow,left,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.251,-4.221
arrival,slow,right,m03.start,m03.opening.01,,6.322,7.476,4.591,10,3,-10.34,0.157,0.329
arrival,slow,right,m03.opening.01,m03.opening.02,,5.339,7.380,4.440,10,4,0.00,-0.044,0.366
arrival,slow,right,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,0.00,-0.135,-1.571
arrival,slow,right,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.300,-1.173
arrival,slow,right,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.246,-4.201
arrival,slow,early,m03.start,m03.opening.01,,6.124,7.380,4.534,10,3,0.00,-0.096,0.432
arrival,slow,early,m03.opening.01,m03.opening.02,,3.883,7.380,4.334,10,4,0.00,-0.020,0.260
arrival,slow,early,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,-0.02,-0.124,-1.571
arrival,slow,early,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.299,-1.172
arrival,slow,early,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.245,-4.200
arrival,slow,late,m03.start,m03.opening.01,,6.641,7.467,4.594,10,3,-9.36,0.116,0.570
arrival,slow,late,m03.opening.01,m03.opening.02,,0.000,7.380,3.764,10,4,0.00,0.047,-0.363
arrival,slow,late,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,0.00,-0.104,-1.579
arrival,slow,late,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.297,-1.176
arrival,slow,late,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.245,-4.203
arrival,slow,heading,m03.start,m03.opening.01,,6.231,7.397,4.546,10,3,-4.39,0.007,0.451
arrival,slow,heading,m03.opening.01,m03.opening.02,,3.883,7.380,4.334,10,4,0.00,-0.027,0.270
arrival,slow,heading,m03.opening.02,m03.opening.03,,6.124,7.380,4.473,11,4,0.00,-0.127,-1.563
arrival,slow,heading,m03.opening.03,m03.arrival.approach,,6.124,7.380,4.473,12,4,0.00,-0.297,-1.165
arrival,slow,heading,m03.arrival.approach,m03.arrival.court,,6.124,7.380,4.473,16,12,0.00,-1.243,-4.192
arrival,flow,clean,m03.start,m03.opening.02,m03.opening.01,13.500,13.500,8.099,10,4,2.38,0.547,-0.424
arrival,flow,clean,m03.opening.02,m03.opening.03,,13.500,13.500,8.195,11,4,12.51,0.286,0.379
