sequence,mode,error,reachedRecovery,landings,finalZ,fatal
arrival,slow,clean,True,5,27.096,False
arrival,slow,left,True,5,27.103,False
arrival,slow,right,True,5,27.122,False
arrival,slow,early,True,5,27.124,False
arrival,slow,late,True,5,27.120,False
arrival,slow,heading,True,5,27.131,False
arrival,flow,clean,True,4,31.679,False
arrival,flow,left,True,4,31.547,False
arrival,flow,right,True,4,31.778,False
arrival,flow,early,True,4,31.330,False
arrival,flow,late,True,4,31.829,False
arrival,flow,heading,True,4,31.840,False
arrival,expert,clean,True,3,31.243,False
arrival,expert,left,True,3,31.074,False
arrival,expert,right,True,3,31.384,False
arrival,expert,early,True,3,30.898,False
arrival,expert,late,True,3,31.250,False
arrival,expert,heading,True,3,31.464,False
temple,slow,clean,True,4,99.277,False
temple,slow,left,True,4,99.292,False
temple,slow,right,True,4,99.302,False
temple,slow,early,True,4,99.307,False
temple,slow,late,True,4,99.285,False
temple,slow,heading,True,4,99.301,False
temple,flow,clean,True,3,102.744,False
temple,flow,left,True,3,102.603,False
temple,flow,right,True,3,102.853,False
temple,flow,early,True,3,102.402,False
temple,flow,late,True,3,102.891,False
temple,flow,heading,True,3,102.513,False
temple,expert,clean,True,2,99.731,False
temple,expert,left,True,2,99.629,False
temple,expert,right,True,2,99.813,False
temple,expert,early,True,2,99.388,False
temple,expert,late,True,2,99.878,False
temple,expert,heading,True,2,99.422,False
ascent,slow,clean,True,6,172.933,False
ascent,slow,left,True,6,172.976,False
ascent,slow,right,True,6,172.955,False
ascent,slow,early,True,6,172.944,False
ascent,slow,late,True,6,172.936,False
ascent,slow,heading,True,6,172.942,False
ascent,flow,clean,True,4,171.787,False
ascent,flow,left,True,4,171.712,False
ascent,flow,right,True,4,172.048,False
ascent,flow,early,True,4,173.378,False
ascent,flow,late,True,4,172.042,False
ascent,flow,heading,True,4,172.090,False
ascent,expert,clean,True,3,171.670,False
ascent,expert,left,True,3,171.587,False
ascent,expert,right,True,3,171.728,False
ascent,expert,early,True,3,171.607,False
ascent,expert,late,True,3,171.678,False
ascent,expert,heading,True,3,171.791,False
