from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m04.intake.start,m04.intake.pipe-a,2.200,4.685,5.118,0.000,0.545,8.222
m04.intake.pipe-a,m04.intake.pipe-b,3.520,4.685,5.204,0.000,0.745,13.190
m04.intake.pipe-b,m04.intake.gantry,4.960,4.685,8.200,0.882,0.945,20.095
m04.intake.gantry,m04.inspection.a,6.480,4.685,7.950,2.811,1.145,27.313
m04.inspection.a,m04.inspection.b,8.220,4.685,6.474,5.847,1.345,34.637
m04.inspection.b,m04.transfer.dock,9.780,4.685,8.200,8.327,1.545,41.989
m04.transfer.dock,moving.m04.transfer,15.300,4.685,8.348,12.683,1.859,53.744
ride,moving.m04.transfer,16.940,0,0,18.677,2.145,56.727
moving.m04.transfer,m04.transfer.exit,18.120,4.685,8.200,18.961,2.545,63.998
m04.transfer.exit,m04.outer.a,20.340,4.685,6.259,21.889,2.745,73.646
m04.outer.a,m04.outer.b,21.680,4.685,5.660,23.878,2.945,78.693
m04.outer.b,m04.outer.c,23.100,4.685,5.989,23.996,3.145,84.639
m04.outer.c,m04.furnace.court,24.540,4.685,8.200,22.514,3.345,91.639
m04.furnace.court,crumble.m04.cooling-a,27.280,4.685,6.200,19.102,3.545,103.645
crumble.m04.cooling-a,crumble.m04.cooling-b,28.840,4.685,5.630,15.194,3.745,108.752
crumble.m04.cooling-b,m04.cooling.safe,30.321,2.491,8.352,11.939,3.945,114.955
m04.cooling.safe,m04.crown.run-a,33.021,4.685,6.166,8.108,4.145,126.664
m04.crown.run-a,m04.crown.run-b,34.501,4.685,6.662,5.189,4.345,132.619
m04.crown.run-b,m04.crown.restore,36.121,4.685,8.200,2.815,4.545,140.314
m04.crown.restore,m04.crown.beam-a,38.901,4.685,6.123,0.078,4.745,152.644
m04.crown.beam-a,m04.crown.beam-b,40.381,4.685,6.673,-2.811,4.945,158.616
m04.crown.beam-b,m04.patch.base,41.821,4.685,8.200,-3.931,5.145,165.732
