from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m04.intake.start,m04.intake.pipe-a,1.820,7.800,3.120,0.000,0.545,8.389
m04.intake.pipe-a,m04.intake.pipe-b,3.040,7.800,3.128,0.000,0.745,13.389
m04.intake.pipe-b,m04.intake.gantry,4.340,7.800,7.825,0.914,0.945,20.347
m04.intake.gantry,m04.inspection.a,5.680,7.800,6.485,2.894,1.145,27.618
m04.inspection.a,m04.inspection.b,7.140,7.800,3.981,5.944,1.345,34.868
m04.inspection.b,m04.transfer.dock,8.500,7.800,8.200,8.379,1.545,42.142
m04.transfer.dock,moving.m04.transfer,14.660,7.800,7.241,11.582,1.711,54.002
ride,moving.m04.transfer,16.520,0,0,18.380,2.125,56.713
moving.m04.transfer,m04.transfer.exit,17.500,7.800,8.200,18.972,2.545,64.153
m04.transfer.exit,m04.outer.a,19.260,7.800,3.808,21.958,2.745,73.868
m04.outer.a,m04.outer.b,20.500,7.800,3.358,23.956,2.945,78.889
m04.outer.b,m04.outer.c,21.780,7.800,3.684,23.999,3.145,84.866
m04.outer.c,m04.furnace.court,23.080,7.800,8.200,22.465,3.345,91.891
m04.furnace.court,crumble.m04.cooling-a,25.140,7.800,3.727,19.037,3.545,103.871
crumble.m04.cooling-a,crumble.m04.cooling-b,26.500,7.800,3.449,15.077,3.745,108.903
crumble.m04.cooling-b,m04.cooling.safe,27.820,7.800,8.200,11.780,3.945,115.447
m04.cooling.safe,m04.crown.run-a,29.820,7.800,3.771,8.042,4.145,126.870
m04.crown.run-a,m04.crown.run-b,31.141,7.800,4.123,5.068,4.345,132.863
m04.crown.run-b,m04.crown.restore,32.541,7.800,8.200,2.751,4.545,140.508
m04.crown.restore,m04.crown.beam-a,34.621,7.800,3.782,0.029,4.745,152.866
m04.crown.beam-a,m04.crown.beam-b,35.941,7.800,4.120,-2.932,4.945,158.863
m04.crown.beam-b,m04.patch.base,37.241,7.800,8.200,-3.987,5.145,165.991
