sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
intake,slow,clean,m04.intake.start,m04.intake.pipe-a,,6.124,7.380,4.473,10,3,0.00,0.000,0.429
intake,slow,clean,m04.intake.pipe-a,m04.intake.pipe-b,,3.883,7.380,4.334,11,4,0.00,0.000,0.278
intake,slow,clean,m04.intake.pipe-b,m04.intake.gantry,,6.124,7.380,4.473,12,4,0.00,-0.231,-1.590
intake,slow,clean,m04.intake.gantry,m04.inspection.a,,6.124,7.380,4.473,12,6,0.00,-0.307,-1.161
intake,slow,clean,m04.inspection.a,m04.inspection.b,,6.124,7.380,4.473,12,5,0.00,-0.139,-0.338
intake,slow,clean,m04.inspection.b,m04.transfer.dock,,6.124,7.380,4.473,16,12,0.00,-0.914,-2.742
intake,slow,left,m04.intake.start,m04.intake.pipe-a,,6.188,7.384,4.477,10,3,2.08,0.023,0.422
intake,slow,left,m04.intake.pipe-a,m04.intake.pipe-b,,4.368,7.380,4.376,11,4,0.00,-0.007,0.348
intake,slow,left,m04.intake.pipe-b,m04.intake.gantry,,6.124,7.380,4.473,12,4,0.00,-0.234,-1.574
intake,slow,left,m04.intake.gantry,m04.inspection.a,,6.124,7.380,4.473,12,6,0.00,-0.317,-1.195
intake,slow,left,m04.inspection.a,m04.inspection.b,,6.124,7.380,4.473,12,5,0.00,-0.133,-0.324
intake,slow,left,m04.inspection.b,m04.transfer.dock,,6.124,7.380,4.473,16,12,0.00,-0.925,-2.776
intake,slow,right,m04.intake.start,m04.intake.pipe-a,,6.188,7.384,4.477,10,3,-2.08,-0.023,0.422
intake,slow,right,m04.intake.pipe-a,m04.intake.pipe-b,,4.368,7.380,4.376,11,4,0.00,0.007,0.348
intake,slow,right,m04.intake.pipe-b,m04.intake.gantry,,6.124,7.380,4.473,12,4,0.00,-0.227,-1.571
intake,slow,right,m04.intake.gantry,m04.inspection.a,,6.124,7.380,4.473,12,6,0.00,-0.315,-1.191
intake,slow,right,m04.inspection.a,m04.inspection.b,,6.124,7.380,4.473,12,5,0.00,-0.151,-0.367
intake,slow,right,m04.inspection.b,m04.transfer.dock,,6.124,7.380,4.473,16,12,0.00,-0.925,-2.771
intake,slow,early,m04.intake.start,m04.intake.pipe-a,,6.124,7.380,4.473,10,3,0.00,0.000,0.436
intake,slow,early,m04.intake.pipe-a,m04.intake.pipe-b,,3.883,7.380,4.334,11,4,0.00,0.000,0.286
