sequence,mode,error,reachedRecovery,landings,finalZ,fatal
intake,slow,clean,True,6,41.578,False
intake,slow,left,True,6,41.544,False
intake,slow,right,True,6,41.549,False
intake,slow,early,True,6,41.585,False
intake,slow,late,True,6,41.554,False
intake,slow,heading,True,6,41.583,False
intake,flow,clean,True,5,46.222,False
intake,flow,left,True,5,46.040,False
intake,flow,right,True,5,46.371,False
intake,flow,early,True,5,45.875,False
intake,flow,late,True,5,46.371,False
intake,flow,heading,True,5,46.337,False
intake,expert,clean,True,4,48.102,False
intake,expert,left,True,4,47.862,False
intake,expert,right,True,4,48.310,False
intake,expert,early,True,4,47.755,False
intake,expert,late,True,4,48.250,False
intake,expert,heading,True,4,48.306,False
outer,slow,clean,True,4,91.203,False
outer,slow,left,True,4,91.178,False
outer,slow,right,True,4,91.162,False
outer,slow,early,True,4,91.168,False
outer,slow,late,True,4,91.188,False
outer,slow,heading,True,4,91.164,False
outer,flow,clean,True,3,95.016,False
outer,flow,left,True,3,94.978,False
outer,flow,right,True,3,95.021,False
outer,flow,early,True,3,94.659,False
outer,flow,late,True,3,95.169,False
outer,flow,heading,True,3,94.716,False
outer,expert,clean,True,2,92.089,False
outer,expert,left,True,2,92.057,False
outer,expert,right,True,2,92.101,False
outer,expert,early,True,2,91.733,False
outer,expert,late,True,2,92.242,False
outer,expert,heading,True,2,91.755,False
crown,slow,clean,True,6,165.240,False
crown,slow,left,True,6,165.248,False
crown,slow,right,True,6,165.260,False
crown,slow,early,True,6,165.247,False
crown,slow,late,True,6,165.225,False
crown,slow,heading,True,6,165.236,False
crown,flow,clean,True,5,162.954,False
crown,flow,left,True,5,163.110,False
crown,flow,right,True,5,162.896,False
crown,flow,early,True,5,162.855,False
crown,flow,late,True,5,162.981,False
crown,flow,heading,True,5,162.965,False
crown,expert,clean,True,4,164.770,False
crown,expert,left,True,4,165.048,False
crown,expert,right,True,4,164.474,False
crown,expert,early,True,4,164.454,False
crown,expert,late,True,4,164.905,False
crown,expert,heading,True,4,164.735,False
