from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m05.arrival,m05.approach.a,3.500,4.685,4.887,-24.000,0.345,22.230
m05.approach.a,m05.approach.b,4.740,4.685,3.582,-24.000,0.345,26.303
m05.approach.b,m05.approach.c,6.080,4.685,3.638,-24.000,0.345,30.812
m05.approach.c,m05.west.restore,7.400,4.685,8.200,-24.000,0.545,37.283
m05.west.restore,m05.arc.01,9.520,4.685,5.687,-24.000,0.545,46.683
m05.arc.01,m05.arc.02,10.860,4.685,5.082,-24.946,0.545,51.724
m05.arc.02,m05.arc.03,12.320,4.685,6.041,-26.895,0.545,57.682
m05.arc.03,m05.arc.04,13.940,4.685,5.532,-29.864,0.545,63.726
m05.arc.04,m05.arc.05,15.340,4.685,8.017,-33.590,0.545,69.382
m05.arc.05,m05.arc.06,16.900,4.685,7.895,-37.638,0.545,75.914
m05.arc.06,m05.east.restore,18.640,4.685,8.200,-41.191,0.745,83.882
m05.east.restore,m05.ascent.a,21.760,4.685,6.495,-46.844,0.945,97.134
m05.ascent.a,m05.ascent.b,23.140,4.685,5.990,-49.829,1.145,102.213
m05.ascent.b,m05.ascent.c,24.560,4.685,6.383,-52.817,1.345,107.665
m05.ascent.c,m05.lens.restore,26.040,4.685,8.200,-56.398,1.545,114.116
m05.lens.restore,m05.lens.a,28.660,4.685,5.646,-57.964,1.545,125.710
m05.lens.a,m05.lens.b,30.001,4.685,4.904,-57.999,1.545,130.728
m05.lens.b,m05.lens.c,31.441,4.685,5.710,-58.000,1.545,136.672
m05.lens.c,m05.patch.base,32.881,4.685,8.200,-58.000,1.545,143.883
