from,to,elapsed,takeoffSpeed,landingSpeed,x,y,z
m05.arrival,m05.approach.a,2.620,7.800,2.845,-24.000,0.345,22.405
m05.approach.a,m05.approach.b,3.800,7.800,2.411,-24.000,0.345,26.421
m05.approach.b,m05.approach.c,5.040,7.800,2.437,-24.000,0.345,30.920
m05.approach.c,m05.west.restore,6.260,7.800,8.200,-24.000,0.545,37.430
m05.west.restore,m05.arc.01,7.960,7.800,3.433,-24.000,0.545,46.884
m05.arc.01,m05.arc.02,9.200,7.800,3.017,-24.980,0.545,51.901
m05.arc.02,m05.arc.03,10.520,7.800,3.585,-26.962,0.545,57.885
m05.arc.03,m05.arc.04,11.920,7.800,3.383,-29.948,0.545,63.896
m05.arc.04,m05.arc.05,13.200,7.800,7.095,-33.724,0.545,69.585
m05.arc.05,m05.arc.06,14.580,7.800,6.244,-37.809,0.545,76.191
m05.arc.06,m05.east.restore,16.040,7.800,8.200,-41.272,0.745,84.044
m05.east.restore,m05.ascent.a,18.340,7.800,3.895,-46.945,0.945,97.370
m05.ascent.a,m05.ascent.b,19.600,7.800,3.673,-49.932,1.145,102.386
m05.ascent.b,m05.ascent.c,20.880,7.800,3.966,-52.930,1.345,107.873
m05.ascent.c,m05.lens.restore,22.200,7.800,8.200,-56.503,1.545,114.306
m05.lens.restore,m05.lens.a,24.200,7.800,3.368,-57.987,1.545,125.885
m05.lens.a,m05.lens.b,25.440,7.800,2.912,-58.000,1.545,130.904
m05.lens.b,m05.lens.c,26.740,7.800,3.426,-58.000,1.545,136.884
m05.lens.c,m05.patch.base,28.040,7.800,8.200,-58.000,1.545,144.074
